,ID,Class,Title,Year,Semester,course evaluation,attendance rate,learning load,course difficulty,teaching ability,achievement level,recommendation rate
57152,KORE143,00,한국근대문학과역사적기억,2019,2학기,4.4,1.0,3.3,2.9,4.6,4.1,
57153,KORE142,00,근대매체와한국문학,2019,2학기,2.9,0.5,3.3,3.0,3.1,2.2,
57156,KORE139,02,학업한국어듣기 (외국인만 수강),2019,2학기,4.6,1.0,3.1,3.7,5.0,4.3,
57162,KORE135,00,세계속의한국어,2019,2학기,3.1,1.0,3.7,2.5,4.9,3.0,
57163,GESO144,00,헌법과정의 추석이후 대강당 김양현홀로 강의실 변경예정(9.3),2019,2학기,3.1,1.0,2.4,2.6,4.7,3.2,
57164,GESO139,00,체제전환기중국의정치및사회에대한이해,2019,2학기,3.3,0.25,4.2,3.7,2.3,3.5,
57165,GESO115,00,창작과소유의법,2019,2학기,4.1,1.0,3.9,3.7,4.8,4.5,
57166,GESO114,00,"국제사회와법,그리고한국",2019,2학기,3.1,0.0,4.2,3.5,1.5,2.9,
57167,GESO110,00,행복의심리학,2019,2학기,3.1,0.25,2.3,2.4,2.1,3.0,
57168,GESO108,00,일본과동아시아,2019,2학기,4.1,1.0,2.2,3.0,4.6,3.6,
57169,GESO101,00,범죄와사회,2019,2학기,4.6,0.25,3.5,3.4,1.5,4.6,
57171,GETE016,K2,사고와표현Ⅱ 외국인특별반(고급) International Students Only(Advanced),2019,2학기,4.5,1.0,3.5,3.3,4.8,4.7,
57182,GELA134,00,클래식음악의이해와감상,2019,2학기,4.7,1.0,2.8,2.8,5.0,4.3,
57183,GELA132,00,현대음악의이해,2019,2학기,4.2,1.0,2.6,2.7,4.8,3.6,
57184,GELA126,00,"문학의고전,문화의정전 강의실변경(9.11)",2019,2학기,4.0,0.5,3.0,3.8,3.1,3.9,
57185,GELA107,00,한국고전문학과배경사상,2019,2학기,4.0,0.5,2.1,2.2,2.9,2.7,
57186,GELA077,00,어떻게영화를읽을것인가 추석이후 대강당 김양현홀로 강의실 변경예정(9.3),2019,2학기,3.5,1.0,3.7,3.3,4.5,3.7,
57187,GELA061,00,중남미문학의이해 강의실변경(9.2),2019,2학기,4.5,0.75,3.4,3.5,4.0,4.2,
57188,GELA011,00,문학의이해,2019,2학기,3.9,1.0,1.6,2.6,4.7,3.3,
57189,GEWR001,A3,글쓰기 재외국민,2019,2학기,4.5,1.0,2.8,2.5,4.9,3.8,
57190,GEWR001,A2,글쓰기 재외국민,2019,2학기,3.1,1.0,3.5,3.3,4.6,3.3,
57191,GEWR001,A1,글쓰기 재외국민,2019,2학기,4.2,1.0,2.5,2.5,5.0,3.0,
57192,GEWR001,43,글쓰기 재수강/2학기 이수학과 소속 2019학번(7.29추가),2019,2학기,4.5,1.0,3.4,2.9,5.0,4.4,
57193,GEWR001,42,글쓰기 재수강(미이수자도 수강신청가능),2019,2학기,4.6,1.0,2.1,2.2,4.5,3.9,
57194,GEWR001,41,글쓰기 재수강(미이수자도 수강신청가능),2019,2학기,4.7,1.0,2.7,2.6,4.5,3.9,
57195,GEWR001,40,글쓰기 재수강(미이수자도 수강신청가능),2019,2학기,4.3,1.0,2.6,2.1,4.5,3.9,
57196,GEWR001,39,글쓰기 재수강(미이수자도 수강신청가능)강의실 변경(9.17),2019,2학기,4.8,1.0,3.4,3.4,4.5,4.5,
57197,GEWR001,38,글쓰기 재수강(미이수자도 수강신청가능)강의실 변경(9.11),2019,2학기,3.8,1.0,3.4,2.7,4.6,3.4,
57199,GEWR001,36,글쓰기 2019학번 디자인조형학부/국제학부/컴퓨터학과,2019,2학기,4.2,1.0,2.5,2.7,4.8,3.1,
57200,GEWR001,35,글쓰기 2019학번 디자인조형학부/국제학부/컴퓨터학과/정경대/미디어학부/자유전공학부(9.4 추가),2019,2학기,3.6,1.0,3.4,2.9,4.8,2.8,
57201,GEWR001,34,글쓰기 2019학번 디자인조형학부/국제학부/컴퓨터학과/정경대/미디어학부/자유전공학부(7.29추가),2019,2학기,4.1,0.75,2.0,2.2,4.4,2.8,
57202,GEWR001,33,글쓰기 2019학번 디자인조형학부/국제학부/컴퓨터학과,2019,2학기,4.1,0.75,2.1,2.5,3.8,3.0,
57203,GEWR001,32,글쓰기 2019학번 디자인조형학부/국제학부/컴퓨터학과,2019,2학기,4.7,0.75,2.9,2.6,4.2,3.8,
57204,GEWR001,31,글쓰기 2019학번 디자인조형학부/국제학부/컴퓨터학과,2019,2학기,4.5,1.0,3.9,3.1,4.9,4.4,
57205,GEWR001,30,글쓰기 2019학번 디자인조형학부/국제학부/컴퓨터학과/정경대/미디어학부/자유전공학부(9.4 추가),2019,2학기,3.9,1.0,3.1,3.2,4.8,3.2,
57206,GEWR001,29,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,3.5,1.0,2.3,2.4,4.6,2.7,
57207,GEWR001,28,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,3.8,0.75,2.3,2.4,4.4,3.4,
57208,GEWR001,27,글쓰기 2019학번 정경대/미디어학부/자유전공학부,2019,2학기,4.3,1.0,2.2,1.8,5.0,3.5,
