ID,Class,Title,Year,Semester,Average Score,Attd_rate,avg_study,avg_diff,avg_performance,avg_satisfaction,recc_rate
CHIN331,00,중국현대소설,2023,1학기,4.4,종종함,3.2,2.9,3.2,2.8,47.4%
CHIN329,00,중국고전시가I,2023,1학기,3.0,매번함,3.4,3.4,2.0,2.9,14.3%
CHIN327,00,중국고전강독I,2023,1학기,3.4,매번함,4.4,3.8,2.6,3.1,45.5%
CHIN311,00,중국어의이해I,2023,1학기,3.7,매번함,4.0,3.9,2.9,3.3,33.3%
CHIN303,02,"중국어작문I(외국어강의)중국,대만, 홍콩 국적자 수강 불가",2023,1학기,4.7,매번함,4.0,4.4,5.0,4.7,57.1%
CHIN303,01,"중국어작문I(외국어강의)중국,대만, 홍콩 국적자 수강 불가",2023,1학기,4.3,매번함,3.9,3.8,4.5,4.3,57.1%
CHIN301,02,고급중국어연습I,2023,1학기,4.5,매번함,3.7,3.7,4.7,4.2,41.7%
CHIN301,01,고급중국어연습I,2023,1학기,5.0,매번함,2.8,2.9,4.4,3.9,66.7%
CHIN241,02,현대중국사회의이해,2023,1학기,4.6,매번함,4.1,2.9,4.1,3.7,56.3%
CHIN241,01,현대중국사회의이해,2023,1학기,2.9,매번함,3.2,3.4,1.8,2.4,15.4%
CHIN233,00,중국뉴미디어문화Ⅰ,2023,1학기,4.0,자주함,3.5,3.0,3.9,3.5,50.0%
CHIN223,00,중국고전문학사I,2023,1학기,3.8,매번함,4.0,4.1,4.1,3.6,15.4%
CHIN211,00,현대중국어문법I,2023,1학기,4.4,자주함,4.4,3.9,4.2,3.9,47.1%
CHIN205,02,중급중국어강독I,2023,1학기,3.8,매번함,4.5,4.1,3.8,3.5,25.0%
CHIN205,01,중급중국어강독I,2023,1학기,5.0,매번함,3.8,3.8,4.1,4.1,62.5%
CHIN203,02,"중국어회화I(외국어강의)중국,대만, 홍콩 국적자 수강 불가",2023,1학기,4.4,매번함,2.7,2.7,3.5,2.7,18.2%
CHIN203,01,"중국어회화I(외국어강의)중국,대만, 홍콩 국적자 수강 불가 강의실: 서관 224A",2023,1학기,3.6,매번함,3.6,2.9,3.7,3.0,66.7%
JAPN482,00,트랜스동아시아교류(외국어강의),2023,1학기,4.4,매번함,3.4,3.3,4.0,3.7,57.1%
JAPN435,00,일본디아스포라문학,2023,1학기,5.0,매번함,3.4,3.2,4.8,4.7,55.6%
JAPN427,00,일본문화유산과권력,2023,1학기,3.8,매번함,4.3,3.1,2.9,3.0,22.2%
JAPN426,00,일본의대외인식과지정학적상상력,2023,1학기,4.8,매번함,3.3,3.3,4.3,4.1,44.4%
JAPN425,00,일본어문자와발음의이해(외국어강의),2023,1학기,4.5,매번함,4.7,4.2,4.7,4.3,50.0%
JAPN420,00,일본의사상:전통과변용,2023,1학기,4.8,매번함,2.9,2.5,3.5,3.4,45.5%
JAPN403,00,재난과일본문화,2023,1학기,3.4,매번함,2.5,2.5,3.0,2.9,23.1%
JAPN402,00,대중문학속의현대일본(외국어강의),2023,1학기,4.1,매번함,3.1,3.3,4.0,3.6,28.6%
JAPN400,00,일본어문학문화와한국,2023,1학기,4.2,매번함,4.0,4.0,4.5,4.3,50.0%
JAPN369,00,일본근현대대중소설(외국어강의),2023,1학기,4.1,매번함,3.3,2.6,3.8,3.9,50.0%
JAPN352,00,일본근현대명작선독2,2023,1학기,4.2,매번함,3.7,3.6,4.2,3.9,37.5%
JAPN350,00,일본어구문론(외국어강의)강의실: 서관 223호,2023,1학기,4.9,매번함,4.1,4.0,4.9,4.5,70.0%
JAPN349,00,일본사회와언어(외국어강의),2023,1학기,4.6,매번함,3.6,3.1,3.8,3.9,62.5%
JAPN339,00,일본고전명작선독,2023,1학기,4.6,매번함,4.3,4.1,4.3,4.5,53.3%
JAPN329,00,일본근현대문학과번역,2023,1학기,4.8,자주함,2.6,2.8,4.0,4.4,80.0%
JAPN313,00,일본어고전문법(외국어강의),2023,1학기,4.8,매번함,3.6,3.8,4.6,4.6,80.0%
JAPN272,00,일본어RCⅡ(외국어강의),2023,1학기,4.5,매번함,4.0,3.3,4.1,4.2,20.0%
JAPN271,02,일본어RCⅠ(외국어강의),2023,1학기,4.5,매번함,3.1,2.7,3.8,3.2,45.5%
JAPN271,01,일본어RCⅠ(외국어강의)담당교수: 류정훈 교수,2023,1학기,5.0,종종함,1.9,1.8,4.1,2.9,87.5%
JAPN268,01,일본어회화II(외국어강의),2023,1학기,4.4,매번함,2.3,2.3,4.3,3.5,25.0%
JAPN267,02,일본어회화I(외국어강의),2023,1학기,4.4,매번함,3.3,2.9,4.3,3.9,42.9%
JAPN267,01,일본어회화I(외국어강의),2023,1학기,4.6,매번함,1.7,2.7,3.9,3.0,71.4%
JAPN261,02,일본어LCⅠ(외국어강의),2023,1학기,4.0,매번함,2.6,2.8,3.7,3.5,45.5%
JAPN261,01,일본어LCⅠ(외국어강의),2023,1학기,4.6,매번함,3.1,3.3,4.2,3.5,38.5%
JAPN249,00,글로벌시대의일본학,2023,1학기,4.7,자주함,3.2,3.2,4.5,4.7,66.7%
JAPN233,00,일본역사의이해,2023,1학기,3.5,거의안함,3.1,2.8,2.6,2.6,5.9%
JAPN217,00,일본어학의이해Ⅰ,2023,1학기,4.2,매번함,4.1,3.2,4.2,3.8,50.0%
JAPN212,00,현대일본어문법,2023,1학기,4.6,매번함,4.6,3.9,4.7,4.8,70.0%
LALW112,00,갈등사회론,2023,1학기,4.6,종종함,2.9,3.0,4.6,4.2,75.0%
LALW103,00,응용논리학,2023,1학기,4.2,자주함,3.4,3.5,2.9,3.7,40.0%
HMCI303,00,한국문화와한류,2023,1학기,4.6,자주함,3.1,2.6,4.4,3.7,66.7%
HMCI300,00,인문학과문화산업강의실: 서관 223호,2023,1학기,3.9,종종함,2.8,2.8,3.4,3.4,33.3%
MHUM201,00,의료인문학입문,2023,1학기,4.8,매번함,1.7,1.8,4.3,4.3,50.0%
ENGL437,00,영어음성학응용,2023,1학기,4.3,거의안함,2.9,3.1,4.0,3.2,52.2%
ENGL435,00,영문학과계몽주의(영강),2023,1학기,4.4,매번함,4.2,3.9,4.6,4.5,46.7%
ENGL433,00,영어교과교재연구및지도법(영강),2023,1학기,4.5,매번함,3.4,2.9,4.7,3.9,60.0%
ENGL429,00,최근영미문학(영강),2023,1학기,4.4,매번함,2.8,3.1,4.3,3.7,44.4%
ENGL425,00,응용언어학특수과제(영강),2023,1학기,4.5,매번함,3.7,3.1,4.3,3.6,63.0%
ENGL423,00,심리언어학(영강),2023,1학기,2.9,매번함,3.4,3.3,3.3,2.4,
ENGL421,00,영미문학특수과제Ⅰ(영강),2023,1학기,4.3,매번함,3.3,3.6,4.7,4.0,71.4%
ENGL419,00,영미문학과젠더,2023,1학기,4.7,거의안함,4.5,4.5,4.9,4.6,76.9%
ENGL401,00,초기미국문학,2023,1학기,4.2,매번함,3.9,3.3,3.8,3.7,63.6%
ENGL399,00,영어학연구,2023,1학기,3.6,거의안함,4.0,4.2,3.0,3.2,30.0%
ENGL375,00,비평이론(영강),2023,1학기,3.3,자주함,2.2,2.3,1.7,1.9,13.0%
ENGL361,00,영어발달사,2023,1학기,4.2,매번함,4.5,3.9,4.2,3.9,45.8%
ENGL359,00,19세기영국소설,2023,1학기,3.6,종종함,3.0,2.8,3.2,3.0,25.6%
ENGL343,00,미국시,2023,1학기,3.6,자주함,3.8,3.3,3.2,3.2,24.2%
ENGL333,00,현대미국소설,2023,1학기,4.3,매번함,4.2,3.8,4.3,4.1,69.0%
ENGL329,00,영어의사회언어학(영강),2023,1학기,2.9,자주함,3.3,3.1,2.4,2.8,8.3%
ENGL327,00,영미문학과영화(영강),2023,1학기,4.4,매번함,3.7,3.7,4.7,4.0,53.3%
ENGL281,00,영미문학과대중문화,2023,1학기,4.0,자주함,4.3,4.0,3.8,3.6,26.7%
ENGL220,02,전공영문글쓰기(영강),2023,1학기,4.7,매번함,4.4,4.0,5.0,4.8,81.3%
ENGL220,01,전공영문글쓰기(영강),2023,1학기,4.3,자주함,4.1,4.3,4.5,4.3,75.0%
ENGL211,00,영어학개론(영강),2023,1학기,4.7,매번함,2.9,2.8,4.5,3.8,68.4%
ENGL203,00,영미희곡개론,2023,1학기,3.9,매번함,4.4,4.0,3.6,3.5,35.7%
ENGL202,00,영미소설개론(영강),2023,1학기,2.6,매번함,3.2,3.2,2.1,2.2,6.3%
ENGL201,00,영미시개론,2023,1학기,3.4,자주함,3.7,3.2,2.6,3.0,22.2%
LING482,00,언어습득(영강),2023,1학기,4.2,매번함,3.1,3.0,4.1,4.2,66.7%
LING481,00,언어학특강I,2023,1학기,4.5,매번함,2.5,2.0,4.2,3.7,61.5%
LING471,00,응용기호학,2023,1학기,3.9,매번함,3.8,3.2,4.3,3.7,38.5%
LING461,00,문법론(영강)(3월 9일까지 국제관 423호 강의 진행),2023,1학기,4.5,자주함,4.2,3.7,4.3,4.0,64.3%
LING425,00,언어학과문학,2023,1학기,3.3,매번함,4.8,4.6,2.4,2.9,11.1%
LING421,00,언어와미디어(영강),2023,1학기,3.9,매번함,3.0,2.6,2.9,3.2,72.2%
LING372,00,시각기호학,2023,1학기,3.0,종종함,2.4,3.0,2.5,2.7,25.0%
LING322,00,형태론,2023,1학기,4.6,매번함,3.9,3.5,3.9,3.7,68.2%
LING311,00,통사론(영강),2023,1학기,4.8,매번함,2.4,2.4,3.3,3.1,75.0%
LING303,00,언어학사,2023,1학기,4.8,매번함,3.8,2.8,4.0,3.8,71.9%
LING301,00,음운론(영강),2023,1학기,4.0,매번함,3.4,3.6,4.0,3.7,44.4%
LING221,00,기호학,2023,1학기,4.2,자주함,3.4,2.9,3.8,3.4,48.0%
LING201,00,일반언어학,2023,1학기,3.8,매번함,4.3,3.5,3.1,3.6,45.8%
SPAN475,00,스페인어통사의미화용론,2023,1학기,4.4,거의안함,3.4,3.6,4.4,4.1,53.8%
SPAN417,00,보르헤스와포스트모더니즘,2023,1학기,3.5,자주함,2.4,1.8,1.9,1.7,8.3%
SPAN415,00,라틴아메리카페미니즘연구,2023,1학기,4.6,매번함,3.1,3.6,4.6,4.1,56.3%
SPAN411,00,스페인문학과신화,2023,1학기,4.1,매번함,2.8,3.1,3.5,3.0,35.7%
